timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1658305562653,862,-298,200,,AddProductWithoutRegistr 1-1,text,true,,3264,458,3,5,https://advantageonlineshopping.com/,,861,ISO-8859-1,1,0,Bot0FF,0,713
1658305564983,704,-298,200,,AddProductWithoutRegistr 1-2,text,true,,3264,458,3,7,https://advantageonlineshopping.com/,,703,ISO-8859-1,1,0,Bot0FF,0,563
1658305566007,797,-47,200,,LogInAndChooseProduct 2-1,text,true,,3264,462,2,7,https://www.advantageonlineshopping.com/,,797,ISO-8859-1,1,0,Bot0FF,0,662
1658305566523,415,-302,200,,AddProductWithoutRegistr 1-1,,true,,1378,392,3,7,https://advantageonlineshopping.com/services.properties,,415,ISO-8859-1,1,0,Bot0FF,0,278
1658305567981,729,-298,200,,AddProductWithoutRegistr 1-3,text,true,,3264,458,3,7,https://advantageonlineshopping.com/,,729,ISO-8859-1,1,0,Bot0FF,0,583
1658305568011,725,-351,200,,RegisterAndRemoveAccount 3-1,text,true,,3264,458,2,7,https://advantageonlineshopping.com/,,725,ISO-8859-1,1,0,Bot0FF,0,578
1658305568689,436,-302,200,,AddProductWithoutRegistr 1-2,,true,,1378,392,3,7,https://advantageonlineshopping.com/services.properties,,436,ISO-8859-1,1,0,Bot0FF,0,291
1658305569943,461,-308,200,,AddProductWithoutRegistr 1-1,text,true,,6974,454,3,9,https://advantageonlineshopping.com/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL,,461,ISO-8859-1,1,0,Bot0FF,0,282
1658305570809,413,-51,200,,LogInAndChooseProduct 2-1,,true,,1378,400,3,9,https://www.advantageonlineshopping.com/services.properties,,413,ISO-8859-1,1,0,Bot0FF,0,275
1658305571713,430,-302,200,,AddProductWithoutRegistr 1-3,,true,,1378,392,3,9,https://advantageonlineshopping.com/services.properties,,430,ISO-8859-1,1,0,Bot0FF,0,288
1658305572128,405,-308,200,,AddProductWithoutRegistr 1-2,text,true,,6974,454,3,9,https://advantageonlineshopping.com/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL,,405,ISO-8859-1,1,0,Bot0FF,0,266
1658305571997,603,-47,200,,LogInAndChooseProduct 2-2,text,true,,3264,462,3,9,https://www.advantageonlineshopping.com/,,603,ISO-8859-1,1,0,Bot0FF,0,459
1658305572738,418,-356,200,,RegisterAndRemoveAccount 3-1,,true,,1378,392,3,9,https://advantageonlineshopping.com/services.properties,,418,ISO-8859-1,1,0,Bot0FF,0,280
1658305573009,553,-351,200,,RegisterAndRemoveAccount 3-2,text,true,,3264,458,3,9,https://advantageonlineshopping.com/,,553,ISO-8859-1,1,0,Bot0FF,0,417
1658305573407,431,-310,200,,AddProductWithoutRegistr 1-1,text,true,,1570,1042,3,9,https://advantageonlineshopping.com/accountservice/ws/GetAccountConfigurationRequest,,431,utf-8,1,0,Bot0FF,0,270
1658305575145,437,-308,200,,AddProductWithoutRegistr 1-3,text,true,,6974,454,3,9,https://advantageonlineshopping.com/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL,,437,ISO-8859-1,1,0,Bot0FF,0,289
1658305575224,456,-55,200,,LogInAndChooseProduct 2-1,text,true,,6974,462,3,9,https://www.advantageonlineshopping.com/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL,,456,ISO-8859-1,1,0,Bot0FF,0,289
1658305575535,454,-310,200,,AddProductWithoutRegistr 1-2,text,true,,1570,1042,3,9,https://advantageonlineshopping.com/accountservice/ws/GetAccountConfigurationRequest,,454,utf-8,1,0,Bot0FF,0,298
1658305576602,437,-51,200,,LogInAndChooseProduct 2-2,,true,,1378,400,3,9,https://www.advantageonlineshopping.com/services.properties,,437,ISO-8859-1,1,0,Bot0FF,0,288
1658305577159,454,-359,200,,RegisterAndRemoveAccount 3-1,text,true,,6974,454,3,9,https://advantageonlineshopping.com/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL,,454,ISO-8859-1,1,0,Bot0FF,0,300
1658305577564,412,-356,200,,RegisterAndRemoveAccount 3-2,,true,,1378,392,3,9,https://advantageonlineshopping.com/services.properties,,412,ISO-8859-1,1,0,Bot0FF,0,275
1658305576840,1543,-311,200,,AddProductWithoutRegistr 1-1,text,true,,4906,428,3,9,https://advantageonlineshopping.com/catalog/api/v1/categories,,1542,ISO-8859-1,1,0,Bot0FF,0,1314
1658305578017,681,-351,200,,RegisterAndRemoveAccount 3-3,text,true,,3264,458,3,9,https://advantageonlineshopping.com/,,681,ISO-8859-1,1,0,Bot0FF,0,544
1658305578006,697,-47,200,,LogInAndChooseProduct 2-3,text,true,,3264,462,3,9,https://www.advantageonlineshopping.com/,,697,ISO-8859-1,1,0,Bot0FF,0,555
1658305578584,474,-310,200,,AddProductWithoutRegistr 1-3,text,true,,1570,1042,3,9,https://advantageonlineshopping.com/accountservice/ws/GetAccountConfigurationRequest,,474,utf-8,1,0,Bot0FF,0,299
1658305578990,482,-311,200,,AddProductWithoutRegistr 1-2,text,true,,4910,428,3,9,https://advantageonlineshopping.com/catalog/api/v1/categories,,482,ISO-8859-1,1,0,Bot0FF,0,268
1658305579681,419,-60,200,,LogInAndChooseProduct 2-1,text,true,,1570,1054,3,9,https://www.advantageonlineshopping.com/accountservice/ws/GetAccountConfigurationRequest,,418,utf-8,1,0,Bot0FF,0,274
1658305581040,444,-55,200,,LogInAndChooseProduct 2-2,text,true,,6974,462,3,9,https://www.advantageonlineshopping.com/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL,,443,ISO-8859-1,1,0,Bot0FF,0,281
1658305581382,522,-312,200,,AddProductWithoutRegistr 1-1,text,true,,783,448,3,9,https://advantageonlineshopping.com/catalog/api/v1/deals/search?dealOfTheDay=true,,522,ISO-8859-1,1,0,Bot0FF,0,289
