timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1657981892317,997,-298,200,,AddProductWithoutRegistr 1-1,text,true,,3264,458,1,3,https://advantageonlineshopping.com/,,997,ISO-8859-1,1,0,Bot0FF,0,781
1657981897977,1059,-351,200,,RegisterAndRemoveAccount 3-1,text,true,,3264,458,1,3,https://advantageonlineshopping.com/,,1059,ISO-8859-1,1,0,Bot0FF,0,843
1657981899115,586,-302,200,,AddProductWithoutRegistr 1-1,,true,,1378,392,1,3,https://advantageonlineshopping.com/services.properties,,586,ISO-8859-1,1,0,Bot0FF,0,385
1657981899923,978,-47,200,,LogInAndChooseProduct 2-1,text,true,,3264,462,1,3,https://www.advantageonlineshopping.com/,,978,ISO-8859-1,1,0,Bot0FF,0,776
1657981905502,614,-308,200,,AddProductWithoutRegistr 1-1,text,true,,6974,454,1,3,https://advantageonlineshopping.com/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL,,614,ISO-8859-1,1,0,Bot0FF,0,397
1657981906486,615,-356,200,,RegisterAndRemoveAccount 3-1,,true,,1378,392,1,3,https://advantageonlineshopping.com/services.properties,,615,ISO-8859-1,1,0,Bot0FF,0,414
1657981911918,785,-310,200,,AddProductWithoutRegistr 1-1,text,true,,1570,1042,1,3,https://advantageonlineshopping.com/accountservice/ws/GetAccountConfigurationRequest,,785,utf-8,1,0,Bot0FF,0,412
1657981912302,599,-51,200,,LogInAndChooseProduct 2-1,,true,,1378,400,1,3,https://www.advantageonlineshopping.com/services.properties,,599,ISO-8859-1,1,0,Bot0FF,0,397
1657981914552,612,-359,200,,RegisterAndRemoveAccount 3-1,text,true,,6974,454,1,3,https://advantageonlineshopping.com/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL,,612,ISO-8859-1,1,0,Bot0FF,0,395
1657981918504,4275,-311,200,,AddProductWithoutRegistr 1-1,text,true,,4899,428,1,3,https://advantageonlineshopping.com/catalog/api/v1/categories,,4275,ISO-8859-1,1,0,Bot0FF,0,398
1657981922616,683,-361,200,,RegisterAndRemoveAccount 3-1,text,true,,1570,1042,1,3,https://advantageonlineshopping.com/accountservice/ws/GetAccountConfigurationRequest,,683,utf-8,1,0,Bot0FF,0,364
